plan_id,product_id,tier,pa_required,step_edit,ql_flag,valid_from,valid_to,is_current
PAY000_COMM,PRD001,1,False,False,True,2024-01-01,2024-06-29,False
PAY000_COMM,PRD001,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_COMM,PRD002,1,False,False,False,2024-01-01,2024-06-29,False
PAY000_COMM,PRD002,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_COMM,PRD003,1,False,False,False,2024-01-01,2024-06-29,False
PAY000_COMM,PRD003,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_COMM,PRD004,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_COMM,PRD004,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_COMM,PRD005,3,True,False,False,2024-01-01,2024-06-29,False
PAY000_COMM,PRD005,2,True,False,False,2024-06-29,9999-12-31,True
PAY000_COMM,PRD006,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_COMM,PRD006,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_COMM,PRD007,1,True,True,False,2024-01-01,2024-06-29,False
PAY000_COMM,PRD007,1,True,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD001,1,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD001,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD002,2,True,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD002,1,True,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD003,3,True,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD003,3,True,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD004,3,True,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD004,3,True,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD005,1,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD005,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD006,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD006,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCARE_D,PRD007,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCARE_D,PRD007,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD001,3,True,False,False,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD001,3,True,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD002,2,False,True,True,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD002,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD003,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD003,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD004,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD004,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD005,1,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD005,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD006,2,False,True,False,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD006,1,False,False,False,2024-06-29,9999-12-31,True
PAY000_MCAID,PRD007,3,False,False,False,2024-01-01,2024-06-29,False
PAY000_MCAID,PRD007,3,False,False,False,2024-06-29,9999-12-31,True
PAY000_CASH,PRD001,3,False,False,False,2024-01-01,2024-06-29,False
PAY000_CASH,PRD001,3,False,False,False,2024-06-29,9999-12-31,True
PAY000_CASH,PRD002,3,False,False,False,2024-01-01,2024-06-29,False
PAY000_CASH,PRD002,3,False,False,False,2024-06-29,9999-12-31,True
PAY000_CASH,PRD003,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_CASH,PRD003,1,False,False,True,2024-06-29,9999-12-31,True
PAY000_CASH,PRD004,3,True,False,True,2024-01-01,2024-06-29,False
PAY000_CASH,PRD004,3,False,False,False,2024-06-29,9999-12-31,True
PAY000_CASH,PRD005,3,False,False,False,2024-01-01,2024-06-29,False
PAY000_CASH,PRD005,3,False,False,False,2024-06-29,9999-12-31,True
PAY000_CASH,PRD006,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_CASH,PRD006,2,False,False,False,2024-06-29,9999-12-31,True
PAY000_CASH,PRD007,2,False,False,False,2024-01-01,2024-06-29,False
PAY000_CASH,PRD007,1,False,False,False,2024-06-29,9999-12-31,True
PAY001_COMM,PRD001,1,False,False,False,2024-01-01,2024-06-29,False
PAY001_COMM,PRD001,1,False,False,False,2024-06-29,9999-12-31,True
PAY001_COMM,PRD002,2,False,False,False,2024-01-01,2024-06-29,False
PAY001_COMM,PRD002,2,False,False,True,2024-06-29,9999-12-31,True
PAY001_COMM,PRD003,1,False,False,True,2024-01-01,2024-06-29,False
PAY001_COMM,PRD003,1,False,False,False,2024-06-29,9999-12-31,True
PAY001_COMM,PRD004,1,False,False,False,2024-01-01,2024-06-29,False
PAY001_COMM,PRD004,1,False,False,False,2024-06-29,9999-12-31,True
PAY001_COMM,PRD005,1,True,False,False,2024-01-01,2024-06-29,False
PAY001_COMM,PRD005,1,True,False,False,2024-06-29,9999-12-31,True
PAY001_COMM,PRD006,1,False,False,False,2024-01-01,2024-06-29,False
PAY001_COMM,PRD006,1,False,False,False,2024-06-29,9999-12-31,True
PAY001_COMM,PRD007,3,False,False,False,2024-01-01,2024-06-29,False
PAY001_COMM,PRD007,3,False,False,True,2024-06-29,9999-12-31,True
PAY001_MCARE_D,PRD001,3,False,False,True,2024-01-01,2024-06-29,False
PAY001_MCARE_D,PRD001,3,False,False,False,2024-06-29,9999-12-31,True
PAY001_MCARE_D,PRD002,1,False,False,False,2024-01-01,2024-06-29,False
PAY001_MCARE_D,PRD002,1,False,False,False,2024-06-29,9999-12-31,True
PAY001_MCARE_D,PRD003,2,False,False,False,2024-01-01,2024-06-29,False
PAY001_MCARE_D,PRD003,2,False,False,False,2024-06-29,9999-12-31,True
PAY001_MCARE_D,PRD004,2,False,False,False,2024-01-01,2024-06-29,False
PAY001_MCARE_D,PRD004,2,False,False,False,2024-06-29,9999-12-31,True
PAY001_MCARE_D,PRD005,1,False,False,False,2024-01-01,2024-06-29,False
